Model,Macro F1,Accuracy,Balanced Accuracy,MCC,Macro Precision,Weighted Precision,Weighted ROC-AUC,CV Macro F1 Mean,CV Macro F1 Std
XGBoost,0.5460959509001222,0.8895169578622816,0.5740948154843235,0.8166986700047594,0.5350632696026172,0.9250044754992768,0.9467575206802915,0.9526648311138468,0.0010518975618188247
Random Forest,0.5433994222281437,0.8763103802672148,0.5803388998069042,0.7995593020900619,0.5345888687610455,0.9239648904701,0.9461255470035665,0.9494009146013103,0.0015148612588693408
Decision Tree,0.5193551906492507,0.7903905447070915,0.592382024460026,0.6837314009257738,0.5345900835846882,0.9223954564708016,0.9249539752432738,0.8713001821163697,0.0019606907070816135
